STOREID;STORE APPLICATIONTYPE;STORENAME;STORECATEGORY;STORESTREET;STORENUMBER;STOREPOSTAL;STORECITY;STOREPHONE;STOREEMAIL;STOREWEBSITE;STORELONGITUDE;STORELATITUDE;STOREFACEBOOK
14;Customer Loyalty;Prosport Esneux;Sports et loisirs;Rue de la Station;34;4130;Esneux;04/380.33.20;prosport.esneux@skynet.be;http://www.prosport-respire.be;5,57010670;50,53168690;
17;Customer Loyalty;KitEncre Nivelles;Informatique;Rue du géant;6;1400;Nivelles;067/22.17.13;kitencreniv@gmail.com;http://www.kitencre-nivelles.be;4,32676730;50,59849570;https://www.facebook.com/pages/KITENCRE-CARTOUCHETOP/128941690459521
29;Customer Loyalty;Leonidas Boondael;Confiseries;Chaussée de Boondael;451;1050;Ixelles;02/644.21.19;hotchocolate@skynet.be;http://www.leonidas.com/;4,38910990;50,81642190;https://www.facebook.com/pages/Leonidas-Official-Fan-Page/301657383213850
30;Customer Loyalty;Leonidas La Chasse;Confiseries;Chaussée d'Auderghem;360;1040;Etterbeek;02/646.61.96;hotchocolate@skynet.be;http://www.leonidas.com/;4,38030040;50,83661410;https://www.facebook.com/pages/Leonidas-Official-Fan-Page/301657383213850
36;Customer Loyalty;Cartridges & Toner Discount I;Informatique;Chaussée de Neerstalle;330;1190;Forest;02/346.15.63;webmaster@kitencre.be;http://www.cartouchetop.be;4,31802130;50,80044640;https://www.facebook.com/pages/KITENCRE-CARTOUCHETOP/128941690459521
38;Customer Loyalty;Cartridges & Toner Discount IV;Informatique;Avenue de la Brise;34;1020;Laeken;02/269.59.69;laeken@cartouchetop.be;http://www.cartouchetop.be/;4,35794810;50,89728450;https://www.facebook.com/pages/KITENCRE-CARTOUCHETOP/128941690459521
39;Customer Loyalty;Cartridges & Toner Discount II;Informatique;Avenue de la porte de Hal;16;1060;Saint-Gilles;02/537.38.07;info@cartouchetop.be;http://www.cartouchetop.be/;4,34325570;50,83271130;https://www.facebook.com/pages/KITENCRE-CARTOUCHETOP/128941690459521
42;Customer Loyalty;Trésors de Louise;Décorations d'intérieurs;Rue de Namur;35;1400;Nivelles;067/33.25.66;trésorsdelouise@hotmail.com;;4,32596500;50,59862410;
48;Customer Loyalty;Annemie Verbeke;Vêtements;Antoine Dansaert;64;1000;Bruxelles;02/511.21.71;annemie.verbeke@skynet.be;http://www.annemieverbeke.be;4,34608600;50,85022140;https://www.facebook.com/pages/annemie-verbeke/429389730407618?fref=ts
51;Customer Loyalty;Sandrina Fasoli;Vêtements;Place Brugmann;22;1050;Bruxelles;02/343.33.86;info@sandrinafasoli.com;http://www.sandrinafasoli.com;4,35328220;50,81671750;https://www.facebook.com/pages/Sandrina-Fasoli/22333531412
54;Customer Loyalty;BGS Rixensart;Electricité;avenue de Mérode;11;1330;Rixensart;02/654.14.56;bgselectricite@scarlet.be;http://www.bgselectricite.be;4,53007550;50,71252190;
57;Customer Loyalty;KitEncre Woluwe;Informatique;Georges Henri;302;1200;Bruxelles;02/734.72.03;1200@kitencre.be;http://www.kitencre.be;4,41063140;50,84349490;https://www.facebook.com/pages/KITENCRE-CARTOUCHETOP/128941690459521
60;Customer Loyalty;Seronvalle;Animaux;Rue Albert 1er;5;4042;Liers;04/278.52062;egifal@skynet.be;http://www.maisonseronvalle.be;5,56392000;50,69370000;
63;Customer Loyalty;Mon petit doigt m'a dit;Vêtements;Rue de Namur;30;1400;Nivelles;067/67.09.42;florence.mullaert@skynet.be;http://www.monpetitdoigtmadit.be;4,32597510;50,59862450;
